,epoch,train_loss,valid_loss
116,116.0,0.04520400986075401,0.04519252851605415
117,117.0,0.04506846144795418,0.045001547783613205
118,118.0,0.04494961351156235,0.04490450397133827
119,119.0,0.04486383497714996,0.044777870178222656
120,120.0,0.04474557563662529,0.0447084866464138
121,121.0,0.04467388987541199,0.0446542464196682
122,122.0,0.04457610100507736,0.044528551399707794
123,123.0,0.04448246955871582,0.04441551864147186
124,124.0,0.04437766969203949,0.04432538524270058
125,125.0,0.04428311809897423,0.044248148798942566
126,126.0,0.044207729399204254,0.04416247457265854
127,127.0,0.044106222689151764,0.04406161978840828
128,128.0,0.044016461819410324,0.04396408051252365
129,129.0,0.043923765420913696,0.04385494440793991
130,130.0,0.043831221759319305,0.04376343637704849
131,131.0,0.04374619945883751,0.04371471703052521
132,132.0,0.043664947152137756,0.04359714686870575
