Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Refract Index 486.1nm F,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, PbO, La2O3, TiO2, GeO2, ZrO2, P2O5, Refract Index 486.1nm F
876, GC04-048317, Ohara Inc. (J), 1987, F1-626357, *, , , , , , , *, *, , , *, , , , , , 1.638
877, GC04-048318, Ohara Inc. (J), 1987, F2-620363, *, , , , , , , *, *, , , *, , , , , , 1.632
878, GC04-048319, Ohara Inc. (J), 1987, F3-613370, *, , , , , , , *, *, , , *, , , , , , 1.625
879, GC04-048320, Ohara Inc. (J), 1987, F4-617366, *, , , , , , , *, *, , , *, , , , , , 1.628
880, GC04-048321, Ohara Inc. (J), 1987, F5-603380, *, , , , , , , *, *, , , *, , , , , , 1.615
881, GC04-048322, Ohara Inc. (J), 1987, F6-636354, *, , , , , , , *, *, , , *, , , , , , 1.649
882, GC04-048323, Ohara Inc. (J), 1987, F8-596392, *, , , , , , , *, *, , , *, , , , , , 1.606
883, GC04-048324, Ohara Inc. (J), 1987, F9-620381, *, , , , , , , *, *, , , *, , , , , , 1.632
884, GC04-048325, Ohara Inc. (J), 1987, F10-624365, *, , , , , , , *, *, , , *, , , , , , 1.636
885, GC04-048326, Ohara Inc. (J), 1987, F11-621359, *, , , , , , , *, *, , , *, , , , , , 1.633
886, GC04-048327, Ohara Inc. (J), 1987, F16-593353, *, , , , , , , *, *, , , *, , , , , , 1.605
887, GC04-048328, Ohara Inc. (J), 1987, BaSF1-626392, *, , , , , *, , *, *, *, , *, , , , , , 1.637
888, GC04-048329, Ohara Inc. (J), 1987, BaSF2-664358, *, , , , , *, , *, *, *, , *, , , , , , 1.678
889, GC04-048330, Ohara Inc. (J), 1987, BaSF3-607403, *, , , , , *, , *, *, *, , *, , , , , , 1.618
890, GC04-048331, Ohara Inc. (J), 1987, BaSF4-651383, *, , , , , *, , *, *, *, , *, , , , , , 1.663
891, GC04-048332, Ohara Inc. (J), 1987, BaSF5-603423, *, , , , , *, , *, *, *, , *, , , , , , 1.613
892, GC04-048333, Ohara Inc. (J), 1987, BaSF6-668419, *, , , , , *, , *, *, *, , *, , , , , , 1.679
893, GC04-048334, Ohara Inc. (J), 1987, BaSF7-702412, *, , , , , *, , *, *, *, , *, , , , , , 1.714
894, GC04-048335, Ohara Inc. (J), 1987, BaSF8-723380, *, , , , , *, , *, *, *, , *, , , , , , 1.737
895, GC04-048336, Ohara Inc. (J), 1987, BaSF10-650394, *, , , , , *, , *, *, *, , *, , , , , , 1.662
896, GC04-048337, Ohara Inc. (J), 1987, BaSF12-670393, *, , , , , *, , *, *, *, , *, , , , , , 1.682
897, GC04-048338, Ohara Inc. (J), 1987, BaSF01-702401, *, , , , , *, , *, *, *, , *, , , , , , 1.714
898, GC04-048339, Ohara Inc. (J), 1987, BaSF07-702412, *, , , , , *, , *, *, *, , *, , , , , , 1.714
899, GC04-048340, Ohara Inc. (J), 1987, BaSF08-723380, *, , , , , *, , *, *, *, , *, , , , , , 1.737
900, GC04-048341, Ohara Inc. (J), 1987, SF1-717295, *, , , , , , , *, *, , , *, , , , , , 1.735
901, GC04-048342, Ohara Inc. (J), 1987, SF2-648338, *, , , , , , , *, *, , , *, , , , , , 1.661
902, GC04-048343, Ohara Inc. (J), 1987, SF3-740283, *, , , , , , , *, *, , , *, , , , , , 1.759
903, GC04-048344, Ohara Inc. (J), 1987, SF4-755275, *, , , , , , , *, *, , , *, , , , , , 1.775
904, GC04-048345, Ohara Inc. (J), 1987, SF5-673321, *, , , , , , , *, *, , , *, , , , , , 1.688
905, GC04-048346, Ohara Inc. (J), 1987, SF6-805254, *, , , , , , , *, *, , , *, , , , , , 1.828
906, GC04-048347, Ohara Inc. (J), 1987, SF7-640345, *, , , , , , , *, *, , , *, , , , , , 1.653
907, GC04-048348, Ohara Inc. (J), 1987, SF8-689311, *, , , , , , , *, *, , , *, , , , , , 1.705
908, GC04-048349, Ohara Inc. (J), 1987, SF9-654336, *, , , , , , , *, *, , , *, , , , , , 1.668
909, GC04-048350, Ohara Inc. (J), 1987, SF10-728285, *, , , , , , , *, *, , , *, , , , , , 1.746
910, GC04-048351, Ohara Inc. (J), 1987, SF11-785257, *, , , , , , , *, *, , , *, , , , , , 1.806
911, GC04-048352, Ohara Inc. (J), 1987, SF12-648338, *, , , , , , , *, *, , , *, , , , , , 1.662
912, GC04-048353, Ohara Inc. (J), 1987, SF13-741278, *, , , , , , , *, *, , , *, , , , , , 1.76
913, GC04-048354, Ohara Inc. (J), 1987, SF14-762266, *, , , , , , , *, *, , , *, , , , , , 1.782
914, GC04-048355, Ohara Inc. (J), 1987, SF15-699301, *, , , , , , , *, *, , , *, , , , , , 1.715
915, GC04-048356, Ohara Inc. (J), 1987, SF18-722292, *, , , , , , , *, *, , , *, , , , , , 1.739
916, GC04-048357, Ohara Inc. (J), 1987, SF19-667331, *, , , , , , , *, *, , , *, , , , , , 1.681
917, GC04-048358, Ohara Inc. (J), 1987, SF01-720293, *, , , , , , , *, *, , , *, , , , , , 1.738
918, GC04-048359, Ohara Inc. (J), 1987, SF03-847239, *, , , , , , , *, *, , , *, , , , , , 1.872
919, GC04-048360, Ohara Inc. (J), 1987, SF04-751277, *, , , , , , , *, *, , , *, , , , , , 1.77
920, GC04-048361, Ohara Inc. (J), 1987, SFL6-805254, *, , , , , , , *, *, , , *, , , , , , 1.828
921, GC04-048362, Ohara Inc. (J), 1987, SFL11-785257, *, , , , , , , *, *, , , *, , , , , , 1.807
922, GC04-048363, Ohara Inc. (J), 1987, SFL14-762265, *, , , , , , , *, *, , , *, , , , , , 1.782
923, GC04-048364, Ohara Inc. (J), 1987, SFL03-847238, *, , , , , , , *, *, , , *, , , , , , 1.872
924, GC05-048365, Ohara Inc. (J), 1987, KzF2-529517, *, *, *, , , , , , *, *, , , , , , , , 1.537
925, GC05-048366, Ohara Inc. (J), 1987, KzF4-570481, *, *, *, , , , , , *, *, , , , , , , , 1.579
926, GC05-048367, Ohara Inc. (J), 1987, KzF5-521526, *, *, *, , , , , , *, *, , , , , , , , 1.528
927, GC05-048368, Ohara Inc. (J), 1987, KzF6-527511, *, *, *, , , , , , *, *, , , , , , , , 1.534
928, GC05-048369, Ohara Inc. (J), 1987, PKS1-517696, *, *, *, , , *, , *, *, , , , , , , , , 1.522
929, GC10-048370, Ohara Inc. (J), 1987, KzFS4-613438, , *, *, , , , , , , , , *, , , , , , 1.623
930, GC10-048371, Ohara Inc. (J), 1987, KzFS5-654397, , *, *, , , , , , , , , *, , , , , , 1.666
931, GC10-048372, Ohara Inc. (J), 1987, KzFS8-720347, , *, *, , , , , , , , , *, , , , , , 1.735
932, GC10-048373, Ohara Inc. (J), 1987, KzFS35-645408, , *, *, , , , , , , , , *, , , , , , 1.656
933, GC10-048374, Ohara Inc. (J), 1987, KzFS40-677375, , *, *, , , , , , , , , *, , , , , , 1.689
934, GC10-048375, Ohara Inc. (J), 1987, KzFS45-719335, , *, *, , , , , , , , , *, , , , , , 1.734
935, GC10-048376, Ohara Inc. (J), 1987, KzFS50-740317, , *, *, , , , , , , , , *, , , , , , 1.757
936, GC10-048377, Ohara Inc. (J), 1987, KzFS01-613442, , *, *, , , , , , , , , *, , , , , , 1.623
937, GC04-048378, Ohara Inc. (J), 1987, SFS1-923209, *, , , , , , , *, *, , , *, , , , , , 1.955
938, GC04-048379, Ohara Inc. (J), 1987, SFS3-785262, *, , , , , , , *, *, , , *, , , , , , 1.806
939, GC04-048380, Ohara Inc. (J), 1987, SFS5-762271, *, , , , , , , *, *, , , *, , , , , , 1.782
940, GC04-048381, Ohara Inc. (J), 1987, SFS01-923213, *, , , , , , , *, *, , , *, , , , , , 1.954
941, GC04-048382, Ohara Inc. (J), 1987, SFS02-915212, *, , , , , , , *, *, , , *, , , , , , 1.646
942, GC04-048383, Ohara Inc. (J), 1987, SFSL3-785263, *, , , , , , , *, *, , , *, , , , , , 1.806
943, GC05-048384, Ohara Inc. (J), 1987, LaK6-643584, *, *, , , *, , , , , , , , *, , , *, , 1.65
944, GC05-048385, Ohara Inc. (J), 1987, LaK7-652585, *, *, , , *, , , , , , , , *, , , *, , 1.659
945, GC05-048386, Ohara Inc. (J), 1987, LaK8-713538, *, *, , , *, , , , , , , , *, , , *, , 1.722
946, GC05-048387, Ohara Inc. (J), 1987, LaK9-691548, *, *, , , *, , , , , , , , *, , , *, , 1.7
947, GC05-048388, Ohara Inc. (J), 1987, LaK10-720503, *, *, , , *, , , , , , , , *, , , *, , 1.73
948, GC05-048389, Ohara Inc. (J), 1987, LaK11-658573, *, *, , , *, , , , , , , , *, , , *, , 1.666
949, GC05-048390, Ohara Inc. (J), 1987, LaK12-678553, *, *, , , *, , , , , , , , *, , , *, , 1.686
950, GC05-048391, Ohara Inc. (J), 1987, LaK13-694532, *, *, , , *, , , , , , , , *, , , *, , 1.703
951, GC05-048392, Ohara Inc. (J), 1987, LaK14-697555, *, *, , , *, , , , , , , , *, , , *, , 1.706
952, GC05-048393, Ohara Inc. (J), 1987, LaK18-729547, *, *, , , *, , , , , , , , *, , , *, , 1.738
953, GC05-048394, Ohara Inc. (J), 1987, LaK01-640601, *, *, , , *, , , , , , , , *, , , *, , 1.647
954, GC05-048395, Ohara Inc. (J), 1987, LaK02-670573, *, *, , , *, , , , , , , , *, , , *, , 1.678
955, GC05-048396, Ohara Inc. (J), 1987, LaK03-670516, *, *, , , *, , , , , , , , *, , , *, , 1.679
956, GC05-048397, Ohara Inc. (J), 1987, LaK04-651562, *, *, , , *, , , , , , , , *, , , *, , 1.659
957, GC05-048398, Ohara Inc. (J), 1987, LaK05-658534, *, *, , , *, , , , , , , , *, , , *, , 1.667
958, GC05-048399, Ohara Inc. (J), 1987, LaK06-678507, *, *, , , *, , , , , , , , *, , , *, , 1.687
959, GC05-048400, Ohara Inc. (J), 1987, LaK07-678534, *, *, , , *, , , , , , , , *, , , *, , 1.687
960, GC05-048401, Ohara Inc. (J), 1987, LaK08-694508, *, *, , , *, , , , , , , , *, , , *, , 1.703
961, GC05-048402, Ohara Inc. (J), 1987, LaK09-734515, *, *, , , *, , , , , , , , *, , , *, , 1.744
962, GC05-048403, Ohara Inc. (J), 1987, LaK010-726536, *, *, , , *, , , , , , , , *, , , *, , 1.735
963, GC05-048404, Ohara Inc. (J), 1987, LaK011-741527, *, *, , , *, , , , , , , , *, , , *, , 1.751
964, GC05-048405, Ohara Inc. (J), 1987, LaK013-641569, *, *, , , *, , , , , , , , *, , , *, , 1.649
965, GC05-048406, Ohara Inc. (J), 1987, LaK014-697565, *, *, , , *, , , , , , , , *, , , *, , 1.705
966, GC05-048407, Ohara Inc. (J), 1987, LaSK01-755523, *, *, , , *, , , , , , , , *, , , , , 1.765
967, GC05-048408, Ohara Inc. (J), 1987, LaSK02-787500, *, *, , , *, , , , , , , , *, , , , , 1.797
968, GC05-048409, Ohara Inc. (J), 1987, LaF2-744448, *, *, , , *, *, , , , *, , *, *, , , *, , 1.756
969, GC05-048410, Ohara Inc. (J), 1987, LaF3-717479, *, *, , , *, *, , , , *, , *, *, , , *, , 1.727
970, GC05-048411, Ohara Inc. (J), 1987, LaF7-750353, *, *, , , *, *, , , , *, , *, *, , , *, , 1.765
971, GC05-048412, Ohara Inc. (J), 1987, LaF8-735411, *, *, , , *, *, , , , *, , *, *, , , *, , 1.748
972, GC05-048413, Ohara Inc. (J), 1987, LaF01-700481, *, *, , , *, *, , , , *, , *, *, , , *, , 1.71
973, GC05-048414, Ohara Inc. (J), 1987, LaF02-720437, *, *, , , *, *, , , , *, , *, *, , , *, , 1.732
974, GC05-048415, Ohara Inc. (J), 1987, LaF03-735498, *, *, , , *, *, , , , *, , *, *, , , *, , 1.745
975, GC05-048416, Ohara Inc. (J), 1987, LaF04-757478, *, *, , , *, *, , , , *, , *, *, , , *, , 1.768
976, GC05-048417, Ohara Inc. (J), 1987, LaF05-762401, *, *, , , *, *, , , , *, , *, *, , , *, , 1.775
977, GC05-048418, Ohara Inc. (J), 1987, LaF06-686492, *, *, , , *, *, , , , *, , *, *, , , *, , 1.696
978, GC05-048419, Ohara Inc. (J), 1987, LaF07-713432, *, *, , , *, *, , , , *, , *, *, , , *, , 1.724
979, GC05-048420, Ohara Inc. (J), 1987, LaF08-720420, *, *, , , *, *, , , , *, , *, *, , , *, , 1.732
980, GC05-048421, Ohara Inc. (J), 1987, LaF09-697485, *, *, , , *, *, , , , *, , *, *, , , *, , 1.707
981, GC05-048422, Ohara Inc. (J), 1987, LaF010-743493, *, *, , , *, *, , , , *, , *, *, , , *, , 1.754
982, GC05-048423, Ohara Inc. (J), 1987, LaF011-720460, *, *, , , *, *, , , , *, , *, *, , , *, , 1.731
983, GC05-048424, Ohara Inc. (J), 1987, LaF012-783362, *, *, , , *, *, , , , *, , *, *, , , *, , 1.798
984, GC05-048425, Ohara Inc. (J), 1987, LaF015-750350, *, *, , , *, *, , , , *, , *, *, , , *, , 1.765
985, GC05-048426, Ohara Inc. (J), 1987, LaF016-801350, *, *, , , *, *, , , , *, , *, *, , , *, , 1.817
986, GC05-048427, Ohara Inc. (J), 1987, LaSF01-786442, *, *, , , , *, , , , *, , , *, , , *, , 1.798
987, GC05-048428, Ohara Inc. (J), 1987, LaSF02-800422, *, *, , , , *, , , , *, , , *, , , *, , 1.813
988, GC05-048429, Ohara Inc. (J), 1987, LaSF03-806410, *, *, , , , *, , , , *, , , *, , , *, , 1.82
989, GC05-048430, Ohara Inc. (J), 1987, LaSF04-816444, *, *, , , , *, , , , *, , , *, , , *, , 1.828
990, GC05-048431, Ohara Inc. (J), 1987, LaSF05-835427, *, *, , , , *, , , , *, , , *, , , *, , 1.849
991, GC05-048432, Ohara Inc. (J), 1987, LaSF07-863415, *, *, , , , *, , , , *, , , *, , , *, , 1.878
992, GC05-048433, Ohara Inc. (J), 1987, LaSF08-883408, *, *, , , , *, , , , *, , , *, , , *, , 1.898
993, GC05-048434, Ohara Inc. (J), 1987, LaSF09-816466, *, *, , , , *, , , , *, , , *, , , *, , 1.828
994, GC05-048435, Ohara Inc. (J), 1987, LaSF010-834372, *, *, , , , *, , , , *, , , *, , , *, , 1.85
995, GC05-048436, Ohara Inc. (J), 1987, LaSF012-803467, *, *, , , , *, , , , *, , , *, , , *, , 1.815
996, GC05-048437, Ohara Inc. (J), 1987, LaSF013-804396, *, *, , , , *, , , , *, , , *, , , *, , 1.819
997, GC05-048438, Ohara Inc. (J), 1987, LaSF014-788474, *, *, , , , *, , , , *, , , *, , , *, , 1.8
998, GC05-048439, Ohara Inc. (J), 1987, LaSF015-804466, *, *, , , , *, , , , *, , , *, , , *, , 1.816
999, GC05-048440, Ohara Inc. (J), 1987, LaSF016-773496, *, *, , , , *, , , , *, , , *, , , *, , 1.783
1000, GC05-048441, Ohara Inc. (J), 1987, LaSF017-795453, *, *, , , , *, , , , *, , , *, , , *, , 1.807
1001, GC05-048442, Ohara Inc. (J), 1987, LaSF021-850323, *, *, , , , *, , , , *, , , *, , , *, , 1.869
1002, GC05-048443, Ohara Inc. (J), 1987, LaSF025-874353, *, *, , , , *, , , , *, , , *, , , *, , 1.892
1003, GB10-050934, Handbook of Glass Data, 1985, v. 00B  p. 0323, , 21.0, , , , , , , , , , , , , , , , 2.059
1004, GB10-050935, Handbook of Glass Data, 1985, v. 00B  p. 0323, , 29.9, , , , , , , , , , , , , , , , 2.017
1005, GB10-050936, Handbook of Glass Data, 1985, v. 00B  p. 0323, , 40.0, , , , , , , , , , , , , , , , 1.992
1006, GC30-051219, Schott AG (DE),     , IRG11, , , *, , *, , , , , , , , , , , , , 1.692
1007, GC25-051220, Schott AG (DE),     , IRG9, , , , , , , , , , , , , , , , , *, 1.49
1008, GC04-051221, Schott AG (DE),     , IRG7, *, , , , , , , , , , , *, , , , , , 1.574
1009, GC06-051222, Schott AG (DE),     , IRGN6, *, , *, , *, , , , , , , , , , , , , 1.597
1010, GC04-051223, Schott AG (DE), , IRG3, *, , , , , , , , , , , *, *, , , , , 1.863
1011, GC09-051224, Schott AG (DE),     , IRG2, *, , , , , , , , , , , , , , *, , , 1.913
1012, GC01-051459, Corning Inc. (US), 1959, 7905, 100.0, , , , , , , , , , , , , , , , , 1.462
1013, GC01-051469, Corning Inc. (US), 1973, 7957, 100.0, , , , , , , , , , , , , , , , , 1.463
1014, GC01-051470, Corning Inc. (US), 1973, 7958, 100.0, , , , , , , , , , , , , , , , , 1.463
1015, GC09-051471, Corning Inc. (US),     , 7971, 94.64, , , , , , , , , , , , , 5.36, , , , 1.498
1016, GC06-051544, Corning Inc. (US), , 9753, *, , *, , *, , , , , , , , , , , , , 1.613
1017, GC04-051899, Hoya Corp. (J), , FR-1, *, , , , , , , , , , , *, , , , , , 1.828
1018, GC28-051916, Hoya Corp. (J),     , AOT-5, , , , , , , , , , , , , , , , , , 2.146
1019, GC28-051917, Hoya Corp. (J),     , AOT-44B, , , , , , , , , , , , , , , , , , 2.014
1020, GC01-052198, Shin-Etsu Quartz Products (J), 1980, Heralux, 99.96, , , , , , , , , , , , , , , , , 1.463
1021, GC01-052199, Shin-Etsu Quartz Products (J), 1980, Heralux-St, 100.0, , , , , , , , , , , , , , , , , 1.463
1022, GC01-052200, Shin-Etsu Quartz Products (J), 1980, Heralux-WG, 100.0, , , , , , , , , , , , , , , , , 1.463
1023, GC01-052201, Shin-Etsu Quartz Products (J), 1980, M235 M282, 100.0, , , , , , , , , , , , , , , , , 1.463
1024, GC01-052202, Shin-Etsu Quartz Products (J), 1980, Infralux, 100.0, , , , , , , , , , , , , , , , , 1.463
1025, GC01-052203, Shin-Etsu Quartz Products (J), 1980, Herasil 1 2 3, 99.96, , , , , , , , , , , , , , , , , 1.463
1026, GC01-052204, Shin-Etsu Quartz Products (J), 1980, Homosil Ultras, 99.96, , , , , , , , , , , , , , , , , 1.463
1027, GC01-052205, Shin-Etsu Quartz Products (J), 1980, Infrasil 1 2, 100.0, , , , , , , , , , , , , , , , , 1.463
1028, GC01-052206, Shin-Etsu Quartz Products (J), 1980, Herasil 1-TOP, 100.0, , , , , , , , , , , , , , , , , 1.463
1029, GC01-052207, Shin-Etsu Quartz Products (J), 1980, Suprasil, 99.58, , , , , , , , , , , , , , , , , 1.463
1030, GC01-052208, Shin-Etsu Quartz Products (J), 1980, Suprasil 1 2, 100.0, , , , , , , , , , , , , , , , , 1.463
1031, GC01-052209, Shin-Etsu Quartz Products (J), 1980, Suprasil-W, 100.0, , , , , , , , , , , , , , , , , 1.463
1032, GC20-052228, Isuzu Seiko (J), , ISK-150, , , , , , , , , , , , , , , , , *, 1.528
1033, GC20-052229, Isuzu Seiko (J), , ISK-370, , , , , , , , , , , , , , , , , *, 1.532
1034, GC20-052230, Isuzu Seiko (J), , ISK-157, , , , , , , , , , , , , , , , , *, 1.523
1035, GC20-052231, Isuzu Seiko (J), , ISK-166, , , , , , , , , , , , , , , , , *, 1.534
1036, GC20-052232, Isuzu Seiko (J), , ISK-177, , , , , , , , , , , , , , , , , *, 1.535
1037, GC04-052304, Ohara Inc. (J), , SF05, *, , , , , , , *, *, , , *, , , , , , 1.777
1038, GJ04-062965, J. Non-Crystalline Solids, 1979, v. 034  p. 0063, 57.63, , , , , , , , 2.01, , , 40.36, , , , , , 1.828
1039, GJ01-062966, J. Non-Crystalline Solids, 1979, v. 034  p. 0063, 100.0, , , , , , , , , , , , , , , , , 1.463
1040, GJ05-062967, J. Non-Crystalline Solids, 1979, v. 034  p. 0063, 74.18, 12.62, 3.08, , , , , 10.13, , , , , , , , , , 1.504
1041, GJ05-062968, J. Non-Crystalline Solids, 1979, v. 034  p. 0063, 75.22, 9.19, , , , 1.05, , 8.77, 5.77, , , , , , , , , 1.522
1042, GJ02-062969, J. Non-Crystalline Solids, 1979, v. 034  p. 0063, 59.88, , 2.5, , 9.98, , 27.45, , , , , , , , , , , 1.573
1043, GJ20-062970, J. Non-Crystalline Solids, 1979, v. 034  p. 0063, , , *, , , , , , , , , , , , , , *, 1.479
1044, GJ60-062971, J. Non-Crystalline Solids, 1979, v. 034  p. 0063, , , 2.17, , , , , , , , , , , , , , *, 1.495
1045, GP06-063961, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 60.0, , 10.0, 30.0, , , , , , , , , , , , , , 1.557
1046, GP06-063962, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 60.0, , 10.0, 20.0, , , , , , , , , , , , , , 1.636
1047, GP06-063963, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 60.0, , 10.0, , , 20.0, , , , , , , , , , , , 1.658
1048, GP06-063964, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 60.0, , 10.0, 10.0, , 10.0, , , , , , , , , , , , 1.64
1049, GP06-063965, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 60.0, , 10.0, 25.0, , , , , , , , , 5.0, , , , , 1.609
1050, GP06-063966, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 60.0, , 10.0, 20.0, , , , , , , , , 10.0, , , , , 1.655
1051, GP06-063967, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 60.0, , 10.0, 15.0, , , , , , , , , 15.0, , , , , 1.699
1052, GP06-063968, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 60.0, , 10.0, , 20.0, , , , , , , , 10.0, , , , , 1.667
1053, GP06-063969, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 60.0, , 10.0, , , , , , , , 20.0, , 10.0, , , , , 1.665
1054, GP06-063970, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 65.0, , 10.0, , , 10.0, , , , , , , 15.0, , , , , 1.687
1055, GP06-063971, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 13.04, , 21.74, , , 21.74, , , , 10.87, , , 32.61, , , , , 1.705
1056, GP06-063972, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 55.0, , 10.0, , , 15.0, , , , 5.0, , , 15.0, , , , , 1.72
1057, GP06-063973, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 60.0, , 10.0, 10.0, , 10.0, , , , , , , 10.0, , , , , 1.664
1058, GP06-063974, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 60.0, , 10.0, 10.0, , , , , , 5.0, , , 15.0, , , , , 1.704
1059, GP06-063975, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 60.0, , 10.0, 20.0, , , , , , , , , , , , , , 1.649
1060, GP06-063976, Japanese Patent    Nat. Inst. Mat. Sci. (J), 1987, A138342, 57.14, , 9.52, , , 19.05, , , , 4.76, , , , , , , , 1.67
1061, GC05-066018, Hoya Corp. (J), , FC1-471-673, *, *, *, , , , , , *, , , , , , , , , 1.476
1062, GC05-066019, Hoya Corp. (J), , FC3-465-658, *, *, *, , , , , , *, , , , , , , , , 1.469
1063, GC05-066020, Hoya Corp. (J), , FC5-487-704, *, *, *, , , , , , *, , , , , , , , , 1.492
1064, GC05-066022, Hoya Corp. (J), , FCD10-457-908, , , , , , , , , , , , , , , , , , 1.46
1065, GC05-066023, Hoya Corp. (J), , PC1-504-669, *, *, , , , *, , *, *, , , , , , , , , 1.509
1066, GC05-066024, Hoya Corp. (J), , PC2-518-652, *, *, , , , *, , *, *, , , , , , , , , 1.524
1067, GC05-066025, Hoya Corp. (J), , PC3-525-646, *, *, , , , *, , *, *, , , , , , , , , 1.531
1068, GC05-066026, Hoya Corp. (J), , PCS1-517-697, *, *, *, , , *, , *, *, , , , , , , , , 1.522
1069, GC05-066027, Hoya Corp. (J), , PCD2-569-631, *, *, *, , , *, , *, *, , , , , , , , , 1.575
1070, GC05-066028, Hoya Corp. (J), , PCD3-552-634, *, *, *, , , *, , *, *, , , , , , , , , 1.558
1071, GC05-066029, Hoya Corp. (J), , PCD4-618-634, *, *, *, , , *, , *, *, , , , , , , , , 1.625
1072, GC05-066030, Hoya Corp. (J), , PCD5-617-628, *, *, *, , , *, , *, *, , , , , , , , , 1.624
1073, GC05-066031, Hoya Corp. (J), , PCD53-620-635, *, *, *, , , *, , *, *, , , , , , , , , 1.627
1074, GC05-066032, Hoya Corp. (J), , BSC1-510-634, *, *, , , , *, , *, *, *, , , , , , , , 1.516
1075, GC05-066033, Hoya Corp. (J), , BSC3-498-651, *, *, , , , *, , *, *, *, , , , , , , , 1.504
1076, GC05-066034, Hoya Corp. (J), , BSC4-500-660, *, *, , , , *, , *, *, *, , , , , , , , 1.506
1077, GC05-066035, Hoya Corp. (J), , BSC6-531-621, *, *, , , , *, , *, *, *, , , , , , , , 1.537
1078, GC05-066036, Hoya Corp. (J), , BSC7-517-642, *, *, , , , *, , *, *, *, , , , , , , , 1.522
1079, GC02-066037, Hoya Corp. (J), , BaCL1-526-601, *, *, , , , *, , *, *, *, , , , , , , , 1.533
1080, GC02-066038, Hoya Corp. (J), , BaCL3-518-604, *, *, , , , *, , *, *, *, , , , , , , , 1.524
1081, GC02-066039, Hoya Corp. (J), , C2-516-568, *, , *, , *, , , *, *, , , , , , , , , 1.522
1082, GC02-066040, Hoya Corp. (J), , C3-518-590, *, , *, , *, , , *, *, , , , , , , , , 1.524
1083, GC02-066041, Hoya Corp. (J), , C5-522-595, *, , *, , *, , , *, *, , , , , , , , , 1.529
1084, GC02-066042, Hoya Corp. (J), , C7-511-605, *, , *, , *, , , *, *, , , , , , , , , 1.517
1085, GC02-066043, Hoya Corp. (J),     , C10-501-563, *, , *, , *, , , *, *, , , , , , , , , 1.508
1086, GC02-066044, Hoya Corp. (J),     , C12-523-586, *, , *, , *, , , *, *, , , , , , , , , 1.529
1087, GC02-066045, Hoya Corp. (J), , C40-523-604, *, , *, , *, , , *, *, , , , , , , , , 1.529
1088, GC07-066046, Hoya Corp. (J), , ZnC1-533-581, *, *, , , , , , *, *, *, , , , , , , , 1.54
1089, GC07-066047, Hoya Corp. (J), , ZnC7-508-613, *, *, , , , , , *, *, *, , , , , , , , 1.514
1090, GC03-066048, Hoya Corp. (J), , BaC1-573-575, *, *, *, , , *, , *, *, *, , , , , , , , 1.579
1091, GC03-066049, Hoya Corp. (J), , BaC2-540-597, *, *, *, , , *, , *, *, *, , , , , , , , 1.546
1092, GC03-066050, Hoya Corp. (J), , BaC4-569-560, *, *, *, , , *, , *, *, *, , , , , , , , 1.576
1093, GC03-066051, Hoya Corp. (J),     , BaC5-557-586, *, *, *, , , *, , *, *, *, , , , , , , , 1.563
1094, GC03-066052, Hoya Corp. (J), , BaC6-574-564, *, *, *, , , *, , *, *, *, , , , , , , , 1.582
1095, GC03-066053, Hoya Corp. (J),     , BaCD1-610-567, *, *, *, , , *, , , , *, , , , , , , , 1.618
1096, GC03-066054, Hoya Corp. (J),     , BaCD2-607-567, *, *, *, , , *, , , , *, , , , , , , , 1.615
1097, GC03-066055, Hoya Corp. (J),     , BaCD3-609-589, *, *, *, , , *, , , , *, , , , , , , , 1.616
1098, GC03-066056, Hoya Corp. (J),     , BaCD4-613-586, *, *, *, , , *, , , , *, , , , , , , , 1.62
1099, GC03-066057, Hoya Corp. (J), , BaCD5-589-613, *, *, *, , , *, , , , *, , , , , , , , 1.596
