Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Refract Index 656.3nm C,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, PbO, La2O3, TiO2, GeO2, ZrO2, P2O5, Refract Index 656.3nm C
34, GB03-012547, Handbook of Glass Properties, 1986, v. 001  p. 0591, 58.0, , , , , 28.0, , , , 14.0, , , , , , , , 1.632
35, GB03-012548, Handbook of Glass Properties, 1986, v. 001  p. 0591, 56.0, , , , , 28.0, , , , 16.0, , , , , , , , 1.637
36, GB03-012549, Handbook of Glass Properties, 1986, v. 001  p. 0591, 52.0, , , , , 28.0, , , , 20.0, , , , , , , , 1.648
37, GB03-012550, Handbook of Glass Properties, 1986, v. 001  p. 0591, 48.0, , , , , 28.0, , , , 24.0, , , , , , , , 1.663
38, GB03-012551, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 28.0, , , , 26.0, , , , , , , , 1.67
39, GB03-012552, Handbook of Glass Properties, 1986, v. 001  p. 0591, 70.0, , , , , 26.0, , , , 4.0, , , , , , , , 1.586
40, GB03-012553, Handbook of Glass Properties, 1986, v. 001  p. 0591, 68.0, , , , , 26.0, , , , 6.0, , , , , , , , 1.595
41, GB03-012554, Handbook of Glass Properties, 1986, v. 001  p. 0591, 66.0, , , , , 26.0, , , , 8.0, , , , , , , , 1.602
42, GB03-012555, Handbook of Glass Properties, 1986, v. 001  p. 0591, 64.0, , , , , 26.0, , , , 10.0, , , , , , , , 1.606
43, GB03-012556, Handbook of Glass Properties, 1986, v. 001  p. 0591, 62.0, , , , , 26.0, , , , 12.0, , , , , , , , 1.614
44, GB03-012557, Handbook of Glass Properties, 1986, v. 001  p. 0591, 60.0, , , , , 26.0, , , , 14.0, , , , , , , , 1.62
45, GB03-012558, Handbook of Glass Properties, 1986, v. 001  p. 0591, 58.0, , , , , 26.0, , , , 16.0, , , , , , , , 1.63
46, GB03-012559, Handbook of Glass Properties, 1986, v. 001  p. 0591, 56.0, , , , , 26.0, , , , 18.0, , , , , , , , 1.635
47, GB03-012560, Handbook of Glass Properties, 1986, v. 001  p. 0591, 54.0, , , , , 26.0, , , , 20.0, , , , , , , , 1.644
48, GB03-012561, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 26.0, , , , 24.0, , , , , , , , 1.657
49, GB07-012562, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 26.0, , , , 28.0, , , , , , , , 1.67
50, GB03-012563, Handbook of Glass Properties, 1986, v. 001  p. 0591, 70.0, , , , , 24.0, , , , 6.0, , , , , , , , 1.585
51, GB03-012564, Handbook of Glass Properties, 1986, v. 001  p. 0591, 66.0, , , , , 24.0, , , , 10.0, , , , , , , , 1.599
52, GB03-012565, Handbook of Glass Properties, 1986, v. 001  p. 0591, 62.0, , , , , 24.0, , , , 14.0, , , , , , , , 1.613
53, GB03-012566, Handbook of Glass Properties, 1986, v. 001  p. 0592, 46.0, , , , , 30.0, , , , 24.0, , , , , , , , 1.67
54, GB03-012567, Handbook of Glass Properties, 1986, v. 001  p. 0592, 70.0, , , , , 28.0, , , , 2.0, , , , , , , , 1.591
55, GB03-012568, Handbook of Glass Properties, 1986, v. 001  p. 0592, 64.0, , , , , 28.0, , , , 8.0, , , , , , , , 1.607
56, GB03-012569, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 24.0, , , , 24.0, , , , , , , , 1.647
57, GB07-012570, Handbook of Glass Properties, 1986, v. 001  p. 0592, 50.0, , , , , 24.0, , , , 26.0, , , , , , , , 1.658
58, GB03-012571, Handbook of Glass Properties, 1986, v. 001  p. 0592, 66.0, , , , , 20.0, , , , 14.0, , , , , , , , 1.6
59, GB03-012572, Handbook of Glass Properties, 1986, v. 001  p. 0592, 60.0, , , , , 20.0, , , , 20.0, , , , , , , , 1.623
60, GB07-012573, Handbook of Glass Properties, 1986, v. 001  p. 0592, 58.0, , , , , 20.0, , , , 22.0, , , , , , , , 1.618
61, GB07-012574, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 20.0, , , , 28.0, , , , , , , , 1.646
62, GB07-012575, Handbook of Glass Properties, 1986, v. 001  p. 0592, 50.0, , , , , 20.0, , , , 30.0, , , , , , , , 1.652
63, GB07-012576, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 18.0, , , , 30.0, , , , , , , , 1.646
64, GB07-012577, Handbook of Glass Properties, 1986, v. 001  p. 0592, 48.0, , , , , 18.0, , , , 34.0, , , , , , , , 1.66
65, GB07-012578, Handbook of Glass Properties, 1986, v. 001  p. 0592, 60.0, , , , , 16.0, , , , 24.0, , , , , , , , 1.614
66, GB07-012579, Handbook of Glass Properties, 1986, v. 001  p. 0592, 57.45, , , , , 10.64, , , , 31.91, , , , , , , , 1.635
67, GB07-012580, Handbook of Glass Properties, 1986, v. 001  p. 0592, 50.0, , , , , 16.0, , , , 34.0, , , , , , , , 1.651
68, GB03-012581, Handbook of Glass Properties, 1986, v. 001  p. 0592, 58.0, , , , , 24.0, , , , 18.0, , , , , , , , 1.626
69, GB03-012582, Handbook of Glass Properties, 1986, v. 001  p. 0592, 56.0, , , , , 24.0, , , , 20.0, , , , , , , , 1.637
70, GB03-012583, Handbook of Glass Properties, 1986, v. 001  p. 0592, 54.0, , , , , 24.0, , , , 22.0, , , , , , , , 1.642
71, GB07-012584, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 14.0, , , , 34.0, , , , , , , , 1.643
72, GB07-012585, Handbook of Glass Properties, 1986, v. 001  p. 0592, 48.0, , , , , 14.0, , , , 38.0, , , , , , , , 1.655
73, GB07-012586, Handbook of Glass Properties, 1986, v. 001  p. 0592, 46.0, , , , , 14.0, , , , 40.0, , , , , , , , 1.664
74, GB07-012587, Handbook of Glass Properties, 1986, v. 001  p. 0592, 56.0, , , , , 12.0, , , , 32.0, , , , , , , , 1.623
75, GB07-012588, Handbook of Glass Properties, 1986, v. 001  p. 0592, 54.0, , , , , 12.0, , , , 34.0, , , , , , , , 1.634
76, GB07-012589, Handbook of Glass Properties, 1986, v. 001  p. 0592, 50.0, , , , , 12.0, , , , 38.0, , , , , , , , 1.649
77, GB07-012590, Handbook of Glass Properties, 1986, v. 001  p. 0592, 48.0, , , , , 12.0, , , , 40.0, , , , , , , , 1.655
