Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Refract Index 656.3nm C,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, PbO, La2O3, TiO2, GeO2, ZrO2, P2O5, Refract Index 656.3nm C
1746, GC05-098534, Sumita Optical Glass (J),     , BK4-500660, *, *, , , , *, , *, *, *, , , , , , , , 1.498
1747, GC05-098535, Sumita Optical Glass (J),     , BK6-531620, *, *, , , , *, , *, *, *, , , , , , , , 1.529
1748, GC05-098536, Sumita Optical Glass (J),     , BK7-516641, *, *, , , , *, , *, *, *, , , , , , , , 1.514
1749, GC05-098537, Sumita Optical Glass (J),     , BK8-520636, *, *, , , , *, , *, *, *, , , , , , , , 1.518
1750, GC05-098538, Sumita Optical Glass (J),     , BK10-498670, *, *, , , , *, , *, *, *, , , , , , , , 1.496
1751, GC02-098539, Sumita Optical Glass (J),     , BaLK1-526601, *, *, , , , *, , *, *, *, , , , , , , , 1.524
1752, GC02-098540, Sumita Optical Glass (J),     , BaLK3-518603, *, *, , , , *, , *, *, *, , , , , , , , 1.516
1753, GC02-098541, Sumita Optical Glass (J),     , K2-516568, *, , *, , *, , , *, *, , , , , , , , , 1.513
1754, GC02-098542, Sumita Optical Glass (J),     , K3-518590, *, , *, , *, , , *, *, , , , , , , , , 1.516
1755, GC02-098543, Sumita Optical Glass (J),     , K4-519573, *, , *, , *, , , *, *, , , , , , , , , 1.516
1756, GC02-098544, Sumita Optical Glass (J),     , K5-522596, *, , *, , *, , , *, *, , , , , , , , , 1.52
1757, GC02-098545, Sumita Optical Glass (J),     , K7-511605, *, , *, , *, , , *, *, , , , , , , , , 1.509
1758, GC02-098546, Sumita Optical Glass (J),     , K10-501565, *, , *, , *, , , *, *, , , , , , , , , 1.499
1759, GC02-098547, Sumita Optical Glass (J),     , K11-500616, *, , *, , *, , , *, *, , , , , , , , , 1.498
1760, GC02-098548, Sumita Optical Glass (J),     , Kn1-524593, *, , *, , *, , , *, *, , , , , , , , , 1.521
1761, GC07-098549, Sumita Optical Glass (J),     , ZK1-533581, *, *, , , , , , *, *, *, , , , , , , , 1.53
1762, GC07-098550, Sumita Optical Glass (J),     , ZK2-521602, *, *, , , , , , *, *, *, , , , , , , , 1.518
1763, GC07-098551, Sumita Optical Glass (J),     , ZK5-534554, *, *, , , , , , *, *, *, , , , , , , , 1.531
1764, GC03-098552, Sumita Optical Glass (J),     , BaK1-573575, *, *, *, , , *, , *, *, *, , , , , , , , 1.569
1765, GC03-098553, Sumita Optical Glass (J),     , BaK2-540597, *, *, *, , , *, , *, *, *, , , , , , , , 1.537
1766, GC03-098554, Sumita Optical Glass (J),     , BaK3-565558, *, *, *, , , *, , *, *, *, , , , , , , , 1.562
1767, GC03-098555, Sumita Optical Glass (J),     , BaK4-569560, *, *, *, , , *, , *, *, *, , , , , , , , 1.566
1768, GC03-098556, Sumita Optical Glass (J),     , BaK5-557585, *, *, *, , , *, , *, *, *, , , , , , , , 1.554
1769, GC03-098557, Sumita Optical Glass (J),     , BaK6-574564, *, *, *, , , *, , *, *, *, , , , , , , , 1.571
1770, GC03-098558, Sumita Optical Glass (J),     , SK1-610565, *, *, *, , , *, , , , *, , , , , , , , 1.607
1771, GC03-098559, Sumita Optical Glass (J),     , SK2-607567, *, *, *, , , *, , , , *, , , , , , , , 1.604
1772, GC03-098560, Sumita Optical Glass (J),     , SK3-609589, *, *, *, , , *, , , , *, , , , , , , , 1.606
1773, GC03-098561, Sumita Optical Glass (J),     , SK4-613586, *, *, *, , , *, , , , *, , , , , , , , 1.61
1774, GC03-098562, Sumita Optical Glass (J),     , SK5-589612, *, *, *, , , *, , , , *, , , , , , , , 1.586
1775, GC03-098563, Sumita Optical Glass (J),     , SK6-614563, *, *, *, , , *, , , , *, , , , , , , , 1.61
1776, GC03-098564, Sumita Optical Glass (J),     , SK7-607595, *, *, *, , , *, , , , *, , , , , , , , 1.604
1777, GC03-098565, Sumita Optical Glass (J),     , SK8-611558, *, *, *, , , *, , , , *, , , , , , , , 1.608
1778, GC03-098566, Sumita Optical Glass (J),     , SK9-614551, *, *, *, , , *, , , , *, , , , , , , , 1.611
1779, GC03-098567, Sumita Optical Glass (J),     , SK10-623569, *, *, *, , , *, , , , *, , , , , , , , 1.619
1780, GC03-098568, Sumita Optical Glass (J),     , SK11-564608, *, *, *, , , *, , , , *, , , , , , , , 1.561
1781, GC03-098569, Sumita Optical Glass (J),     , SK12-583593, *, *, *, , , *, , , , *, , , , , , , , 1.58
1782, GC03-098570, Sumita Optical Glass (J),     , SK13-592582, *, *, *, , , *, , , , *, , , , , , , , 1.589
1783, GC03-098571, Sumita Optical Glass (J),     , SK14-603607, *, *, *, , , *, , , , *, , , , , , , , 1.6
1784, GC03-098572, Sumita Optical Glass (J),     , SK15-623581, *, *, *, , , *, , , , *, , , , , , , , 1.62
1785, GC03-098573, Sumita Optical Glass (J),     , SK16-620603, *, *, *, , , *, , , , *, , , , , , , , 1.617
1786, GC03-098574, Sumita Optical Glass (J),     , SK18-639555, *, *, *, , , *, , , , *, , , , , , , , 1.635
1787, GC03-098575, Sumita Optical Glass (J),     , SK19-613573, *, *, *, , , *, , , , *, , , , , , , , 1.61
1788, GC03-098576, Sumita Optical Glass (J),     , SK20-560612, *, *, *, , , *, , , , *, , , , , , , , 1.557
1789, GC03-098577, Sumita Optical Glass (J),     , SK16RH-620603, *, *, *, , , *, , , , *, , , , , , , , 1.617
1790, GC03-098578, Sumita Optical Glass (J),     , SK16RNA-620603, *, *, *, , , *, , , , *, , , , , , , , 1.617
1791, GC04-098579, Sumita Optical Glass (J),     , KF1-540509, *, , , , , , , *, , *, , *, , , , , , 1.537
1792, GC04-098580, Sumita Optical Glass (J),     , KF2-526510, *, , , , , , , *, , *, , *, , , , , , 1.523
1793, GC04-098581, Sumita Optical Glass (J),     , KF3-515546, *, , , , , , , *, , *, , *, , , , , , 1.512
1794, GC04-098582, Sumita Optical Glass (J),     , KF4-534516, *, , , , , , , *, , *, , *, , , , , , 1.53
1795, GC04-098583, Sumita Optical Glass (J),     , KF5-523509, *, , , , , , , *, , *, , *, , , , , , 1.52
1796, GC04-098584, Sumita Optical Glass (J),     , KF6-517522, *, , , , , , , *, , *, , *, , , , , , 1.514
1797, GC04-098585, Sumita Optical Glass (J),     , KF8-511509, *, , , , , , , *, , *, , *, , , , , , 1.508
1798, GC04-098586, Sumita Optical Glass (J),     , BaLF1-562509, *, , , , , *, , *, *, *, , *, , , , , , 1.559
1799, GC04-098587, Sumita Optical Glass (J),     , BaLF2-571510, *, , , , , *, , *, *, *, , *, , , , , , 1.568
1800, GC04-098588, Sumita Optical Glass (J),     , BaLF3-571530, *, , , , , *, , *, *, *, , *, , , , , , 1.568
1801, GC04-098589, Sumita Optical Glass (J),     , BaLF4-580539, *, , , , , *, , *, *, *, , *, , , , , , 1.576
1802, GC04-098590, Sumita Optical Glass (J),     , BaLF5-547536, *, , , , , *, , *, *, *, , *, , , , , , 1.544
1803, GC04-098591, Sumita Optical Glass (J),     , BaLF6-589532, *, , , , , *, , *, *, *, , *, , , , , , 1.586
1804, GC04-098592, Sumita Optical Glass (J),     , BaLF7-589512, *, , , , , *, , *, *, *, , *, , , , , , 1.585
1805, GC04-098593, Sumita Optical Glass (J),     , BaLF8-554514, *, , , , , *, , *, *, *, , *, , , , , , 1.55
1806, GC03-098594, Sumita Optical Glass (J),     , SSK1-617540, *, *, *, , , *, , , , *, , *, , , , , , 1.614
1807, GC03-098595, Sumita Optical Glass (J),     , SSK2-622531, *, *, *, , , *, , , , *, , *, , , , , , 1.619
1808, GC03-098596, Sumita Optical Glass (J),     , SSK3-615511, *, *, *, , , *, , , , *, , *, , , , , , 1.611
1809, GC03-098597, Sumita Optical Glass (J),     , SSK4-618551, *, *, *, , , *, , , , *, , *, , , , , , 1.614
1810, GC03-098598, Sumita Optical Glass (J),     , SSK5-658508, *, *, *, , , *, , , , *, , *, , , , , , 1.655
1811, GC03-098599, Sumita Optical Glass (J),     , SSK6-618527, *, *, *, , , *, , , , *, , *, , , , , , 1.614
1812, GC03-098600, Sumita Optical Glass (J),     , SSK8-618498, *, *, *, , , *, , , , *, , *, , , , , , 1.614
1813, GC03-098601, Sumita Optical Glass (J),     , SSK9-620498, *, *, *, , , *, , , , *, , *, , , , , , 1.616
1814, GC03-098602, Sumita Optical Glass (J),     , SSKn1-649530, *, *, *, , , *, , , , *, , *, , , , , , 1.645
1815, GC04-098603, Sumita Optical Glass (J),     , LLF1-548459, *, , , , , , , *, *, , , *, , , , , , 1.545
1816, GC04-098604, Sumita Optical Glass (J),     , LLF2-541472, *, , , , , , , *, *, , , *, , , , , , 1.537
1817, GC04-098605, Sumita Optical Glass (J),     , LLF3-560470, *, , , , , , , *, *, , , *, , , , , , 1.557
1818, GC04-098606, Sumita Optical Glass (J),     , LLF4-561453, *, , , , , , , *, *, , , *, , , , , , 1.558
1819, GC04-098607, Sumita Optical Glass (J),     , LLF6-532489, *, , , , , , , *, *, , , *, , , , , , 1.528
1820, GC04-098608, Sumita Optical Glass (J),     , LLF7-549454, *, , , , , , , *, *, , , *, , , , , , 1.545
1821, GC04-098609, Sumita Optical Glass (J),     , LLF8-533460, *, , , , , , , *, *, , , *, , , , , , 1.529
1822, GC04-098610, Sumita Optical Glass (J),     , LF1-573427, *, , , , , , , *, *, , , *, , , , , , 1.569
1823, GC04-098611, Sumita Optical Glass (J),     , LF2-589410, *, , , , , , , *, *, , , *, , , , , , 1.585
1824, GC04-098612, Sumita Optical Glass (J),     , LF3-582420, *, , , , , , , *, *, , , *, , , , , , 1.578
1825, GC04-098613, Sumita Optical Glass (J),     , LF4-578417, *, , , , , , , *, *, , , *, , , , , , 1.574
1826, GC04-098614, Sumita Optical Glass (J),     , LF5-581408, *, , , , , , , *, *, , , *, , , , , , 1.577
1827, GC04-098615, Sumita Optical Glass (J),     , LF6-567428, *, , , , , , , *, *, , , *, , , , , , 1.563
1828, GC04-098616, Sumita Optical Glass (J),     , LF7-575413, *, , , , , , , *, *, , , *, , , , , , 1.571
1829, GC04-098617, Sumita Optical Glass (J),     , BaF1-557485, *, , , , , *, , *, *, , , *, , , , , , 1.553
1830, GC04-098618, Sumita Optical Glass (J),     , BaF2-570494, *, , , , , *, , *, *, , , *, , , , , , 1.566
1831, GC04-098619, Sumita Optical Glass (J),     , BaF3-583465, *, , , , , *, , *, *, , , *, , , , , , 1.579
1832, GC04-098620, Sumita Optical Glass (J),     , BaF4-606439, *, , , , , *, , *, *, , , *, , , , , , 1.602
1833, GC04-098621, Sumita Optical Glass (J),     , BaF5-607493, *, , , , , *, , *, *, , , *, , , , , , 1.604
1834, GC04-098622, Sumita Optical Glass (J),     , BaF6-589486, *, , , , , *, , *, *, , , *, , , , , , 1.585
1835, GC04-098623, Sumita Optical Glass (J),     , BaF7-608462, *, , , , , *, , *, *, , , *, , , , , , 1.604
1836, GC04-098624, Sumita Optical Glass (J),     , BaF8-624470, *, , , , , *, , *, *, , , *, , , , , , 1.62
1837, GC04-098625, Sumita Optical Glass (J),     , BaF9-643478, *, , , , , *, , *, *, , , *, , , , , , 1.639
1838, GC04-098626, Sumita Optical Glass (J),     , BaF10-670472, *, , , , , *, , *, *, , , *, , , , , , 1.666
1839, GC04-098627, Sumita Optical Glass (J),     , BaF11-667484, *, , , , , *, , *, *, , , *, , , , , , 1.663
1840, GC04-098628, Sumita Optical Glass (J),     , BaF12-639450, *, , , , , *, , *, *, , , *, , , , , , 1.635
1841, GC04-098629, Sumita Optical Glass (J),     , BaF13-669450, *, , , , , *, , *, *, , , *, , , , , , 1.665
1842, GC04-098630, Sumita Optical Glass (J),     , BaFn1-683445, *, , , , , *, , *, *, , , *, , , , , , 1.678
1843, GC04-098631, Sumita Optical Glass (J),     , BaFn2-666480, *, , , , , *, , *, *, , , *, , , , , , 1.662
1844, GC04-098632, Sumita Optical Glass (J),     , BaFn3-664492, *, , , , , *, , *, *, , , *, , , , , , 1.66
1845, GC04-098633, Sumita Optical Glass (J),     , F1-626356, *, , , , , , , *, *, , , *, , , , , , 1.621
1846, GC04-098634, Sumita Optical Glass (J),     , F2-620363, *, , , , , , , *, *, , , *, , , , , , 1.615
1847, GC04-098635, Sumita Optical Glass (J),     , F3-613369, *, , , , , , , *, *, , , *, , , , , , 1.608
1848, GC04-098636, Sumita Optical Glass (J),     , F4-617366, *, , , , , , , *, *, , , *, , , , , , 1.612
1849, GC04-098637, Sumita Optical Glass (J),     , F5-603380, *, , , , , , , *, *, , , *, , , , , , 1.599
1850, GC04-098638, Sumita Optical Glass (J),     , F6-636354, *, , , , , , , *, *, , , *, , , , , , 1.631
1851, GC04-098639, Sumita Optical Glass (J),     , F7-625356, *, , , , , , , *, *, , , *, , , , , , 1.62
1852, GC04-098640, Sumita Optical Glass (J),     , F8-596392, *, , , , , , , *, *, , , *, , , , , , 1.591
1853, GC04-098641, Sumita Optical Glass (J),     , F9-620380, *, , , , , , , *, *, , , *, , , , , , 1.616
1854, GC04-098642, Sumita Optical Glass (J),     , F10-624367, *, , , , , , , *, *, , , *, , , , , , 1.619
1855, GC04-098643, Sumita Optical Glass (J),     , F11-621360, *, , , , , , , *, *, , , *, , , , , , 1.616
1856, GC04-098644, Sumita Optical Glass (J),     , F13-622361, *, , , , , , , *, *, , , *, , , , , , 1.617
1857, GC04-098645, Sumita Optical Glass (J),     , F14-601383, *, , , , , , , *, *, , , *, , , , , , 1.597
1858, GC04-098646, Sumita Optical Glass (J),     , F15-606379, *, , , , , , , *, *, , , *, , , , , , 1.601
1859, GC04-098647, Sumita Optical Glass (J),     , F16-593354, *, , , , , , , *, *, , , *, , , , , , 1.588
1860, GB02-098884, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , , , , , , 25.0, , , , , , , , , , 1.496
1861, GB02-098885, Properties of Glass, 1954, v. 001  p. 0245, 70.26, , 0.66, , 0.35, , , 23.88, , , , , , , , , , 1.5019
1862, GB02-098886, Properties of Glass, 1954, v. 001  p. 0245, 67.17, , 0.63, , 0.34, , , 22.83, , , , , , , , , , 1.5082
1863, GB02-098887, Properties of Glass, 1954, v. 001  p. 0245, 64.38, , 0.6, , 0.32, , , 21.87, , , , , , , , , , 1.5135
1864, GB02-098888, Properties of Glass, 1954, v. 001  p. 0245, 61.51, , 0.58, , 0.31, , , 20.9, , , , , , , , , , 1.5182
1865, GB02-098889, Properties of Glass, 1954, v. 001  p. 0245, 59.05, , 0.55, , 0.3, , , 20.06, , , , , , , , , , 1.5226
1866, GB02-098890, Properties of Glass, 1954, v. 001  p. 0245, 57.04, , 0.53, , 0.29, , , 19.38, , , , , , , , , , 1.5264
1867, GB09-098891, Properties of Glass, 1954, v. 001  p. 0245, 54.71, , 0.51, , 0.28, , , 18.59, , , , , , , , , , 1.5285
1868, GB09-098892, Properties of Glass, 1954, v. 001  p. 0245, 52.93, , 0.5, , 0.27, , , 17.99, , , , , , , , , , 1.5316
1869, GB09-098893, Properties of Glass, 1954, v. 001  p. 0245, 50.92, , 0.48, , 0.26, , , 17.3, , , , , , , , , , 1.5336
1870, GB02-098894, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , , , , , , 22.21, , , , , , , , , , 1.497
1871, GB02-098895, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , , , , , , 19.92, , , , , , , , , , 1.498
1872, GB02-098896, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , , , , , , 16.91, , , , , , , , , , 1.499
1873, GB02-098897, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , , , , , , 14.75, , , , , , , , , , 1.5
1874, GB02-098898, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , , , , , , 19.25, , , , , , , , , , 1.504
1875, GB02-098899, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , , , , , , 13.48, , , , , , , , , , 1.511
1876, GB02-098900, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , , 5.79, , , , 19.21, , , , , , , , , , 1.502
1877, GB02-098901, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , , 11.28, , , , 13.72, , , , , , , , , , 1.506
1878, GB02-098902, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , , , 5.96, , , 19.04, , , , , , , , , , 1.512
1879, GB02-098903, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , , , 11.91, , , 13.09, , , , , , , , , , 1.524
1880, GB02-098904, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , 6.09, , , , , 18.91, , , , , , , , , , 1.499
1881, GB02-098905, Properties of Glass, 1954, v. 001  p. 0245, 75.0, , 11.47, , , , , 13.53, , , , , , , , , , 1.499
1882, GB05-098951, Properties of Glass, 1954, v. 001  p. 0426, 59.41, 18.48, 2.49, , , , , 19.51, , , , , , , , , , 1.487
1883, GB02-098952, Properties of Glass, 1954, v. 001  p. 0426, 72.99, 9.61, , , , 1.16, , 16.17, , , , , , , , , , 1.514
1884, GB02-098953, Properties of Glass, 1954, v. 001  p. 0426, 74.75, , 0.37, , 5.17, , , 19.59, , , , , , , , , , 1.498
1885, GB02-098954, Properties of Glass, 1954, v. 001  p. 0426, 60.77, 13.46, 0.71, , 0.72, 2.95, , 20.23, , , , 1.09, , , , , , 1.536
1886, GB03-098955, Properties of Glass, 1954, v. 001  p. 0426, 59.92, 6.98, 1.25, , , 13.59, , 6.81, , 11.27, , , , , , , , 1.573
1887, GB03-098956, Properties of Glass, 1954, v. 001  p. 0426, 53.72, 18.31, 4.42, , , 23.49, , , , , , , , , , , , 1.584
1888, GB03-098957, Properties of Glass, 1954, v. 001  p. 0426, 54.21, 7.77, 3.18, , , 24.11, , , , 9.99, , 0.49, , , , , , 1.61
1889, GB02-098958, Properties of Glass, 1954, v. 001  p. 0426, 73.92, 1.4, , , 4.59, , , 17.21, , , , 2.76, , , , , , 1.523
1890, GB02-098959, Properties of Glass, 1954, v. 001  p. 0426, 60.11, 10.46, , , 3.6, 6.44, , 16.62, , , , 2.68, , , , , , 1.562
1891, GB03-098960, Properties of Glass, 1954, v. 001  p. 0426, 53.72, 7.58, 3.09, , , 24.6, , , , 10.23, , 0.53, , , , , , 1.614
1892, GB04-098961, Properties of Glass, 1954, v. 001  p. 0426, 75.54, 0.11, , , 0.45, , , 15.03, , , , 8.68, , , , , , 1.546
1893, GB03-098962, Properties of Glass, 1954, v. 001  p. 0426, 49.79, 5.98, , , , 23.72, , 4.06, , 9.77, , 6.54, , , , , , 1.653
1894, GB04-098963, Properties of Glass, 1954, v. 001  p. 0426, 73.85, , , , 0.45, , , 14.6, , , , 10.99, , , , , , 1.565
1895, GB04-098964, Properties of Glass, 1954, v. 001  p. 0426, 68.94, , , , 0.82, , , 12.16, , , , 17.97, , , , , , 1.612
1896, GB04-098965, Properties of Glass, 1954, v. 001  p. 0426, 69.54, 1.09, , , 0.82, , , 9.36, , , , 19.09, , , , , , 1.621
1897, GB04-098966, Properties of Glass, 1954, v. 001  p. 0426, 65.63, 0.63, , , , , , 11.83, , , , 21.71, , , , , , 1.645
1898, GB04-098967, Properties of Glass, 1954, v. 001  p. 0426, 62.96, , , , 3.78, , , 8.52, , , , 24.6, , , , , , 1.676
1899, GB04-098968, Properties of Glass, 1954, v. 001  p. 0426, 64.72, , , , , , , , 6.01, , , 29.08, , , , , , 1.693
1900, GB06-098969, Properties of Glass, 1954, v. 001  p. 0433, 44.56, 11.05, 8.38, , , , , 6.02, 6.02, , , , , , , , , 1.46339
1901, GB05-098970, Properties of Glass, 1954, v. 001  p. 0433, 72.36, 12.48, , , , 1.0, , 4.75, 7.23, 2.0, , , , , , , , 1.51461
1902, GB03-098971, Properties of Glass, 1954, v. 001  p. 0433, 72.85, 1.0, , , 9.98, , , 5.94, 9.03, 1.0, , , , , , , , 1.52036
1903, GB02-098972, Properties of Glass, 1954, v. 001  p. 0433, 70.86, 4.99, , , , 8.48, 1.5, 4.36, 6.62, 2.99, , , , , , , , 1.53842
1904, GB03-098973, Properties of Glass, 1954, v. 001  p. 0433, 57.33, 5.98, 4.49, , , 24.93, , , , 5.98, , 0.5, , 0.2, , 0.3, , 1.6137
1905, GB03-098974, Properties of Glass, 1954, v. 001  p. 0433, 50.5, 12.5, 1.5, , , 24.0, , , , 3.5, , , 2.0, 2.4, , 3.6, , 1.65233
1906, GB02-098975, Properties of Glass, 1954, v. 001  p. 0433, 81.0, , , , , , , 4.37, 6.63, 3.5, , 3.0, , , , , , 1.5256
1907, GB02-098976, Properties of Glass, 1954, v. 001  p. 0433, 69.79, 2.49, , , , 6.98, , 3.96, 6.01, 6.48, , 3.99, , , , , , 1.55889
1908, GB03-098977, Properties of Glass, 1954, v. 001  p. 0433, 65.88, , , , , 8.98, , 3.49, 3.49, 8.98, , 8.98, , , , , , 1.6013
1909, GB02-098978, Properties of Glass, 1954, v. 001  p. 0433, 69.43, , , , , 4.5, , 3.57, 5.42, 1.0, , 15.98, , , , , , 1.61242
1910, GB04-098979, Properties of Glass, 1954, v. 001  p. 0433, 77.7, 1.01, , , , 1.01, , 3.4, 6.69, , , 10.09, , , , , , 1.55495
1911, GB04-098980, Properties of Glass, 1954, v. 001  p. 0433, 76.69, , , , , 1.01, , 3.4, 6.69, , , 12.11, , , , , , 1.56861
1912, GB04-098981, Properties of Glass, 1954, v. 001  p. 0433, 73.43, , , , , , , 2.58, 3.92, 0.5, , 19.48, , , , , , 1.61218
1913, GB04-098982, Properties of Glass, 1954, v. 001  p. 0433, 63.07, , , , , , , 0.81, 1.21, , , 34.81, , 0.02, , 0.03, , 1.74302
1914, GB27-098983, Properties of Glass, 1954, v. 001  p. 0433, , , , , , , , , , , , 43.0, , 0.8, , 1.2, 38.0, 1.98605
1915, GP05-102916, Japanese Patent, 1990, A069334, 56.29, 16.74, , , , 3.28, 4.3, 3.99, 4.03, , , , , 3.86, , 4.08, , 1.607
1916, GP05-102917, Japanese Patent, 1990, A069334, 59.53, 14.29, , , , 3.84, 4.09, 2.15, 4.12, , , , , 4.61, , 4.45, , 1.607
1917, GP05-102918, Japanese Patent, 1990, A069334, 56.14, 17.55, , , , 3.86, 4.11, 2.16, 4.14, , , , , 4.63, , 4.47, , 1.607
1918, GP05-102919, Japanese Patent, 1990, A069334, 56.41, 16.73, , , , 4.05, 4.31, 3.53, 3.12, , , , , 3.89, , 4.1, , 1.609
1919, GP05-102920, Japanese Patent, 1990, A069334, 50.5, 20.9, , , , 4.3, 4.15, 4.59, 4.19, , , , , 4.21, , 3.92, , 1.609
1920, GP05-102921, Japanese Patent, 1990, A069334, 56.81, 16.66, , , , 4.02, 4.28, 2.25, 4.33, , , , , 4.37, , 4.07, , 1.606
1921, GP05-102922, Japanese Patent, 1990, A069334, 56.8, 16.66, , , , 4.02, 4.3, 2.25, 4.33, , , , , 4.37, , 4.07, , 1.607
1922, GP05-102923, Japanese Patent, 1990, A069334, 56.88, 16.67, , , , 4.05, 4.3, 1.29, 4.34, , , , , 4.39, , 4.7, , 1.61
1923, GP05-102924, Japanese Patent, 1990, A069334, 57.99, 15.94, , , , 3.84, 4.11, 0.96, 5.01, , , , , 5.07, , 4.48, , 1.606
1924, GP05-102925, Japanese Patent, 1990, A069334, 58.42, 16.04, , , , 4.86, 4.14, 2.18, 2.6, , , , , 5.12, , 2.92, , 1.606
1925, GP05-102926, Japanese Patent, 1990, A069334, 57.85, 15.9, , , , 3.85, 4.1, 2.16, 4.13, , , , , 4.61, , 4.48, , 1.606
1926, GP01-107017, US Patent    Corning Inc. (US), 1990, A4961767, 99.83, , , , , , , , , , , , , , , , , 1.459
1927, GP02-128006, Japanese Patent    Nippon Electric Glass (J), 1993, A294671, 44.11, , , , , , , , 12.31, , , , , 14.51, , , , 1.582
1928, GP02-128007, Japanese Patent    Nippon Electric Glass (J), 1993, A294671, 68.53, , , , , , , 15.5, 1.82, , , , , 3.01, , 11.14, , 1.583
1929, GB10-130609, Handbook of Glass Data, 1991, v. 00D  p. 0049, , 70.0, , , , , 20.0, , , , , , , , , , , 1.531
1930, GB10-130610, Handbook of Glass Data, 1991, v. 00D  p. 0049, , 60.0, , , , , 20.0, , , , , , , , , , , 1.539
1931, GB10-130611, Handbook of Glass Data, 1991, v. 00D  p. 0049, , 60.0, , , , , 30.0, , , , , , , , , , , 1.556
1932, GB10-130612, Handbook of Glass Data, 1991, v. 00D  p. 0049, , 50.0, , , , , 30.0, , , , , , , , , , , 1.564
1933, GB10-130613, Handbook of Glass Data, 1991, v. 00D  p. 0049, , 40.0, , , , , 30.0, , , , , , , , , , , 1.573
1934, GB10-130614, Handbook of Glass Data, 1991, v. 00D  p. 0049, , 60.0, , , , , 30.0, , , , 10.0, , , , , , , 1.581
1935, GB10-130615, Handbook of Glass Data, 1991, v. 00D  p. 0050, , 70.0, , , , , 10.0, , , , 20.0, , , , , , , 1.581
1936, GB10-130616, Handbook of Glass Data, 1991, v. 00D  p. 0050, , 60.0, , , , , 20.0, , , , 20.0, , , , , , , 1.597
1937, GB10-130617, Handbook of Glass Data, 1991, v. 00D  p. 0050, , 50.0, , , , , 30.0, , , , 20.0, , , , , , , 1.609
1938, GB10-130618, Handbook of Glass Data, 1991, v. 00D  p. 0050, , 60.0, , , , , 10.0, , , , 30.0, , , , , , , 1.61
1939, GB10-130619, Handbook of Glass Data, 1991, v. 00D  p. 0050, , 60.0, , , , , , 30.0, , , , , , , , , , 1.517
1940, GB10-130620, Handbook of Glass Data, 1991, v. 00D  p. 0050, , 50.0, , , , , , 30.0, , , , , , , , , , 1.526
1941, GB10-130621, Handbook of Glass Data, 1991, v. 00D  p. 0050, , 40.0, , , , , , 30.0, , , , , , , , , , 1.536
1942, GB10-130622, Handbook of Glass Data, 1991, v. 00D  p. 0050, , , , , , , , , , , , , , , , , , 1.543
1943, GB10-130623, Handbook of Glass Data, 1991, v. 00D  p. 0050, , 65.0, , , , 20.0, , 15.0, , , , , , , , , , 1.574
1944, GB10-130624, Handbook of Glass Data, 1991, v. 00D  p. 0050, , 65.0, , , , 30.0, , 5.0, , , , , , , , , , 1.611
1945, GB10-130625, Handbook of Glass Data, 1991, v. 00D  p. 0050, , , , , , , , , , , , , , , , , , 1.526
1946, GB10-130626, Handbook of Glass Data, 1991, v. 00D  p. 0050, , 65.0, , , , 15.0, , , 20.0, , , , , , , , , 1.538
1947, GB10-131370, Handbook of Glass Data, 1991, v. 00D  p. 0088, , 70.0, 10.0, , , , 20.0, , , , , , , , , , , 1.52
1948, GB10-131371, Handbook of Glass Data, 1991, v. 00D  p. 0088, , 65.0, 5.0, , , , 30.0, , , , , , , , , , , 1.546
1949, GB10-131372, Handbook of Glass Data, 1991, v. 00D  p. 0088, , 60.0, 10.0, , , , 30.0, , , , , , , , , , , 1.546
1950, GB10-131373, Handbook of Glass Data, 1991, v. 00D  p. 0088, , 55.0, 15.0, , , , 30.0, , , , , , , , , , , 1.543
1951, GB10-131374, Handbook of Glass Data, 1991, v. 00D  p. 0088, , 50.0, 10.0, , , , 40.0, , , , , , , , , , , 1.564
1952, GB10-131375, Handbook of Glass Data, 1991, v. 00D  p. 0088, , 65.0, 20.0, , , , , 15.0, , , , , , , , , , 1.495
1953, GB10-131376, Handbook of Glass Data, 1991, v. 00D  p. 0088, , 55.0, 20.0, , , , , 25.0, , , , , , , , , , 1.501
