,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,nd
48,0.4968,0.1496,0.0237999999999999,0.0,0.0,0.1132,0.151,0.0336,0.0,0.0256,0.0033,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,1.5874
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.0,0.0,1.64
50,0.6898000000000001,0.1846,0.0369,0.0,0.0,0.0056999999999999,0.0315,0.0243,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48
51,0.758,0.0,0.0,0.0,0.1609,0.0,0.0,0.0810999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.523
52,0.583,0.167,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.525
53,0.0,0.1338,0.0245,0.0686,0.0294,0.1696,0.1191,0.0,0.0,0.0,0.0819,0.0,0.0,0.0,0.0,0.0,0.0,0.3628,1.59
54,0.0,0.0,0.12,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.55,1.5469
55,0.2817,0.1469,0.023,0.0,0.012,0.0,0.0,0.0538999999999999,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.4785,0.0,0.0,1.555
56,0.0,0.1902,0.0586,0.0,0.2126,0.2185,0.0,0.0192,0.0,0.0718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2291,1.6121
57,0.6,0.0,0.06,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.615
58,0.5543,0.0955,0.0083,0.0,0.0289999999999999,0.1563,0.0,0.0215,0.0404,0.0349,0.0,0.0,0.0,0.0051,0.0477,0.0,0.0062,0.0,1.616
59,0.55,0.0,0.05,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.563
60,0.5618,0.0,0.0,0.0,0.0,0.0,0.0,0.1077,0.0,0.0,0.0,0.3304999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.754
61,0.0,0.0,0.0464,0.0,0.0,0.0,0.0,0.2292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7243,0.0,0.0,1.64
62,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999,1.56
63,0.2452,0.2116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66
64,0.0,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.661
65,0.799,0.0,0.0115,0.0,0.048,0.0,0.0,0.03,0.0132,0.0,0.0486,0.0,0.0,0.01,0.0,0.0,0.0197,0.0,1.53004
66,0.7578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408,0.0,0.0,0.2014,0.0,0.0,0.0,0.0,0.0,0.0,1.618
67,0.0,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.844
68,0.0709,0.3791,0.0,0.0,0.1488,0.0544,0.0,0.0,0.0,0.3076,0.0,0.0,0.0,0.0392,0.0,0.0,0.0,0.0,1.7
69,0.6437,0.0448,0.104,0.1083,0.089,0.0,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53
70,0.177,0.2586,0.0401,0.0,0.2043,0.0426,0.0,0.066,0.0,0.0,0.0868,0.0,0.0,0.0602,0.0,0.0,0.0530999999999999,0.0,1.719
71,0.0584999999999999,0.5609000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0782,0.0,0.0,0.0575,0.1706,0.0,0.0,0.0681,0.0,1.77179
72,0.0,0.07,0.0983,0.1508,0.0,0.0,0.015,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.5927,1.51717
